What is the course fees?,"The course fees for varius courses are as follows:
Data Science Masters: INR 40000 +GST
Machine Learning Masters: INR 3000 +GST
Deep Learning Masters: INR 3000 +GST
NLP Masters: INR 3000 +GST"
What about job?,"We'll provide referral to the candidates. We have our own custom portal where you can search for jobs.
The link is:  https://jobs.ineuron.ai"
What about placement assistance?,"We'll provide referral to the candidates. We have our own custom portal where you can search for jobs.
The link is:  https://jobs.ineuron.ai"
What about job support,"We'll provide referral to the candidates. We have our own custom portal where you can search for jobs.
The link is:  https://jobs.ineuron.ai"
I want to take a demo class,"There  won't be a separate demo class for individual candidate. However you can check our youtube channel for class recordings and you'll have a fair idea of our teaching methods.
YouTube Link: https://www.youtube.com/channel/UCb1GdqUqArXMQ3RS86lqqOw/videos"
Which projects will be discussed?,The list of the projects are:
What is the course duration?,"The course durations for various courses are:
Data Science Masters:  6 Months course+ 3 Months Projects
Machine Learning Masters: 4 Months course+ Project Discussions
Deep Learning Masters: 4 Months course+ Project Discussions
NLP Masters: 4 Months course+ Project Discussions"
What about after class support?,Support after class shall be provided in terms of doubt clearing; different software installation or any other course-related issue that you might face during the course.
What if I am not comfortable with the timings and I want to change the batch?,You can contact the support team. They値l assist you in getting different batch.
What are the EMI options available?,"An EMI option is available only for the Data Science masters course. You can avail a Zero Cost EMI for 6 months if 
1)	You live in any of the 5 cities: New Delhi, Mumbai, Kolkata, Bangalore, Chennai.
2)	You have an HDFC or ICICI credit card."
What is the cut-off to get a certificate?,A certificate is issued to the candidates scoring at least an overall 60 %. 
Will you provide support for my own custom project?,Yes. We値l be more than willing to help you with all the hurdles.
Will you help with my resume preparation and discussion?,Yes. We値l help you build your resume based on the domain you have already worked in.
What are the internship opportunities?,Both paid and unpaid internships are available with us. The selection for the internship will solely depend on your interview result.
Do you provide internship opportunities?,Both paid and unpaid internships are available with us. The selection for the internship will solely depend on your interview result.
Can I get an internship after the course completion?,Both paid and unpaid internships are available with us. The selection for the internship will solely depend on your interview result.
What about interview preparation?,We値l have at least 3 Mock interviews for each candidate to prepare them for a job interview.
Do you help with interview preparations?,We値l have at least 3 Mock interviews for each candidate to prepare them for a job interview.
Are there any mock interview sessions?,We値l have at least 3 Mock interviews for each candidate to prepare them for a job interview.
Do you provide scholarship as well?,No. Currently we are not offering any scholarships.
Are there any scholarships available?,No. Currently we are not offering any scholarships.
What will be the level of the course?,The course caters to the needs of both absolute beginners and the knowledged ones. We値l start from scratch and then take it to the level where the candidates are ready for job interviews.
Is this course sufficient for getting a job?,The syllabus of the course covers all the concepts which are required for cracking an interview and landing a job.
What are the skills required for a data scientist?,"The primary skills are:
1.	Basic analytical ability
2.	A mathematical approach to the problem at hand
3.	EDA to build intuition from data
4.	Concepts of deep learning 
5.	Concepts of NLP
6.	Model deployments"
How will I do a transition from my current field to data science?,We値l help you to showcase relevant projects based on your previous experience and help you with resume and interview preparation. With all this you値l definitely be in a position to change jobs.
How will you help with my career transition?,We値l help you to showcase relevant projects based on your previous experience and help you with resume and interview preparation. With all this you値l definitely be in a position to change jobs.
Is it possible to do a career transition if I have work experience in another domain?,We値l help you to showcase relevant projects based on your previous experience and help you with resume and interview preparation. With all this you値l definitely be in a position to change jobs.
What are the prerequisites for attending this course?,There are no prerequisites as such. We値l start from scratch assuming that the candidates are entirely new to the filed and then we値l build the concepts from the beginning itself.
Which programming language are you using for the course?,This course is conducted in python 3.X version.
In which language the course is taught?,This course is conducted in python 3.X version.
Are you going to use Python or R?,This course is conducted in python 3.X version.
Why are you using Python instead of R for this course?,Python is used because it has a more extensive set of libraries for both Machine Learning and Deep Learning compared to R.
Is a mathematical background required for taking the course?,A mathematical background is not required. We値l explain all the mathematics involved thoroughly.
What is the mathematical background needed for the course?,A mathematical background is not required. We値l explain all the mathematics involved thoroughly.
Do I need a degree in Statistics to become a data scientist?,A degree in statistics is not mandatory to become a data scientist.
Is previous programming experience required for attending the course?,The assumption for the course is that the attendees do not know programming at all. We値l start right from the fundamental of programming.
Do I need to be good at programming to attend the course?,The assumption for the course is that the attendees do not know programming at all. We値l start right from the fundamental of programming.
What are the deployment topics covered?,"We shall cover deployment to the following Cloud service providers:
1.	Google Cloud Platform
2.	Microsoft Azure
3.	AWS
4.	Pivotal
5.	Heroku "
What algorithms are part of the course?,The list of the algorithms is already mentioned in the syllabus already sent to you. We値l cover all the industry-leading algorithm s and libraries.
Which algorithms are you going to cover?,The list of the algorithms is already mentioned in the syllabus already sent to you. We値l cover all the industry-leading algorithm s and libraries.
Is a Masters or Doctorate required to become a data scientist?,There are no such requirements. The selection shall depend on your performance in the interview.
Is an M.Tech or PhD required to become a data scientist?,There are no such requirements. The selection shall depend on your performance in the interview.
How many hours do I need to study daily?,The learning rate varies from person to person. But around 2 hours daily shall suffice.
Which course should I take first? ML or DL?,Our suggestion would be to cover ML first and then go for DL. But there is no such dependency. You can take the course in any order.
First I should go for Machine learning or Deep learning?,"Our suggestion would be to cover ML first and then go for DL. But there is no such dependency. You can take the course in any order.
How is iNeuron different from others?
Following are the reasons that set us apart:
1.	The quality of the content delivered. You won稚 find many of the contents that we teach with any of our contemporaries.
2.	We teach till production deployment- Our USP
3.	We値l help you even with your custom projects
4.	We値l conduct mock interviews and resume discussion for each of the candidates based on their skills- an industry first.
5.	We provide job alerts and referrals.
6.	We provide internship opportunities.
7.	And the list just goes on�"
How are you better than other institutes?,"Our suggestion would be to cover ML first and then go for DL. But there is no such dependency. You can take the course in any order.
How is iNeuron different from others?
Following are the reasons that set us apart:
1.	The quality of the content delivered. You won稚 find many of the contents that we teach with any of our contemporaries.
2.	We teach till production deployment- Our USP
3.	We値l help you even with your custom projects
4.	We値l conduct mock interviews and resume discussion for each of the candidates based on their skills- an industry first.
5.	We provide job alerts and referrals.
6.	We provide internship opportunities.
7.	And the list just goes on�"
Why should I  choose iNeuron?,"Our suggestion would be to cover ML first and then go for DL. But there is no such dependency. You can take the course in any order.
How is iNeuron different from others?
Following are the reasons that set us apart:
1.	The quality of the content delivered. You won稚 find many of the contents that we teach with any of our contemporaries.
2.	We teach till production deployment- Our USP
3.	We値l help you even with your custom projects
4.	We値l conduct mock interviews and resume discussion for each of the candidates based on their skills- an industry first.
5.	We provide job alerts and referrals.
6.	We provide internship opportunities.
7.	And the list just goes on�"
Are there any offline batches?,We have both online and offline batches.
Are there any online batches?,We have both online and offline batches.
Tell me about iNeuron?,"iNeuron provides the best service to our clients in terms of product development, similarly providing the best education to our beloved students, we are here to drive a positive change in the best interest of all."
What does iNeuron do?,"iNeuron provides the best service to our clients in terms of product development, similarly providing the best education to our beloved students, we are here to drive a positive change in the best interest of all."
